Timestamp,Open,High,Low,Close
2020:06:24-12:15:00,3956.1,3955.1,3957.1,3956.2
2020:06:24-12:16:00,3956.3,3955.1,3956.3,3955.2
2020:06:24-12:17:00,3955.1,3952.1,3959.2,3952.2
2020:06:24-12:18:00,3952.3,3952.3,3958.2,3958.2
2020:06:24-12:19:00,3958.7,3957.2,3961.2,3961.1
2020:06:24-12:20:00,3961.2,3960.2,3962.3,3960.2
2020:06:24-12:21:00,3960.3,3959.2,3964.1,3964.1
2020:06:24-12:22:00,3963.2,3960.3,3963.2,3961.1
2020:06:24-12:23:00,3960.7,3954.2,3964.3,3955.1
2020:06:24-12:24:00,3955.2,3946.3,3955.2,3949.3
2020:06:24-12:25:00,3949.2,3943.5,3949.3,3946.8
2020:06:24-12:26:00,3946.3,3943.3,3946.8,3943.3
2020:06:24-12:27:00,3944.1,3943.7,3947.3,3946.2
2020:06:24-12:28:00,3945.8,3943.2,3946.2,3944.2
2020:06:24-12:29:00,3943.7,3941.3,3946.2,3946.1
2020:06:24-12:30:00,3946.2,3944.3,3948.1,3945.2
2020:06:24-12:31:00,3944.8,3944.2,3948.2,3948.1
2020:06:24-12:32:00,3948.2,3945.2,3949.1,3946.1
2020:06:24-12:33:00,3945.3,3940.3,3945.3,3941.3
2020:06:24-12:34:00,3941.7,3938.3,3941.7,3940.3
2020:06:24-12:35:00,3940.7,3939.5,3943.7,3941.3
2020:06:24-12:36:00,3941.2,3940.3,3946.3,3946.3
2020:06:24-12:37:00,3946.1,3942.3,3946.2,3944.3
2020:06:24-12:38:00,3944.1,3943.3,3947.2,3946.3
2020:06:24-12:39:00,3947.1,3943.2,3947.2,3945.3
2020:06:24-12:40:00,3946.1,3945.3,3952.1,3949.3
2020:06:24-12:41:00,3949.7,3948.3,3950.3,3950.3
2020:06:24-12:42:00,3951.1,3950.7,3953.1,3951.3
2020:06:24-12:43:00,3952.1,3949.3,3952.2,3951.2
2020:06:24-12:44:00,3951.3,3949.9,3955.1,3954.3
2020:06:24-12:45:00,3955.1,3952.3,3955.1,3952.7
2020:06:24-12:46:00,3953.1,3952.3,3954.3,3953.3
2020:06:24-12:47:00,3953.2,3951.2,3953.3,3951.3
2020:06:24-12:48:00,3951.2,3946.3,3951.3,3950.2
2020:06:24-12:49:00,3951.1,3951.1,3953.2,3952.2
2020:06:24-12:50:00,3952.3,3950.3,3953.2,3953.2
2020:06:24-12:51:00,3953.1,3952.3,3955.7,3955.1
2020:06:24-12:52:00,3955.2,3953.3,3956.2,3956.2
2020:06:24-12:53:00,3956.1,3956.1,3958.1,3957.7
2020:06:24-12:54:00,3958.1,3954.2,3958.1,3954.2
2020:06:24-12:55:00,3953.4,3951.7,3953.4,3952.2
2020:06:24-12:56:00,3952.3,3951.3,3953.3,3952.3
2020:06:24-12:57:00,3953.1,3950.3,3954.1,3953.3
2020:06:24-12:58:00,3953.2,3952.2,3954.3,3953.3
2020:06:24-12:59:00,3953.7,3952.3,3954.7,3952.3
2020:06:24-13:00:00,3952.7,3949.3,3953.3,3951.3
2020:06:24-13:01:00,3951.1,3951.1,3956.3,3956.2
2020:06:24-13:02:00,3956.3,3952.3,3956.3,3955.3
2020:06:24-13:03:00,3955.2,3952.3,3955.3,3954.2
2020:06:24-13:04:00,3954.3,3954.2,3957.3,3955.3
2020:06:24-13:05:00,3955.2,3954.3,3955.3,3955.2
2020:06:24-13:06:00,3955.3,3946.3,3955.3,3947.2
2020:06:24-13:07:00,3946.3,3945.1,3950.1,3948.7
2020:06:24-13:08:00,3948.3,3947.3,3950.3,3950.3
